uid,observed_on,place_guess,description,tags,timestamp,lat,lon,photo_url,name,image_path
198054784,2024-01-31 19:30:39+05:30,"Prairie Heights, United States",,,2024-01-31,47.159049855088554,-122.10909025172441,https://inaturalist-open-data.s3.amazonaws.com/photos/348987373/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198054784-2024-01-31.jpg
198052454,2021/08/18 5:22 PM,"Arlington Heights, United States",Swam purposefully across Hedlow Creek. ,,2021-08-18,48.37375691526963,-121.97685850420832,https://inaturalist-open-data.s3.amazonaws.com/photos/348982911/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198052454-2021-08-18.jpg
198046721,2024/01/29 16:48,"Hansville, United States",,,2024-01-29,47.91468783048802,-122.60606201996882,https://inaturalist-open-data.s3.amazonaws.com/photos/348971169/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198046721-2024-01-29.jpg
198046550,2024/01/14 10:59 AM,"Vashon, United States",,,2024-01-14,47.375434057514504,-122.48388278062833,https://static.inaturalist.org/photos/348970630/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198046550-2024-01-14.jpg
198044392,2024/01/06 16:27,"McChord Air Force Base, United States",,,2024-01-06,47.12713044035013,-122.4666155050845,https://inaturalist-open-data.s3.amazonaws.com/photos/348963950/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198044392-2024-01-06.jpg
198044369,2024/01/06 10:29,"Fircrest, United States",,,2024-01-06,47.208970385929646,-122.51370893014591,https://inaturalist-open-data.s3.amazonaws.com/photos/348963106/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198044369-2024-01-06.jpg
198001265,2024-01-30 11:19:21,"Tanner, United States",,,2024-01-30,47.54934822011221,-121.42204075969227,https://static.inaturalist.org/photos/348879301/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198001265-2024-01-30.jpg
197978499,2024/01/30 7:29 AM,"Gold Bar, United States",,,2024-01-30,47.708992881149165,-121.48542065241202,https://inaturalist-open-data.s3.amazonaws.com/photos/348834879/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197978499-2024-01-30.jpg
197972912,2024-01-28 19:10:25,"Sammamish, United States",,,2024-01-28,47.666542897680664,-122.08631027884825,https://inaturalist-open-data.s3.amazonaws.com/photos/348823930/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197972912-2024-01-28.jpg
197972242,2024-01-30 10:58:09,"Renton, United States",,,2024-01-30,47.47970129809905,-122.19358602238178,https://inaturalist-open-data.s3.amazonaws.com/photos/348822510/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197972242-2024-01-30.jpg
197961371,2024-01-21 15:11:20+03:00,"Cle Elum, United States",,,2024-01-21,47.24620687269725,-121.29017992238268,https://inaturalist-open-data.s3.amazonaws.com/photos/348801753/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197961371-2024-01-21.jpg
197957863,2024-01-27 10:37:16,"Graham, United States",Passing the Second Chance Dog Rescue at La Joya trailhead a few stray dogs joined me on my hike to the refreshing pools of water beyond trail's end. Easy scrambling😃! https://www.facebook.com/secondvalentin?mibextid=ZbWKwL,,2024-01-27,46.956786361510325,-122.30404467249815,https://static.inaturalist.org/photos/348794938/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197957863-2024-01-27.jpg
197951977,2024-01-24 09:00:53+08:00,"Darrington, United States",,,2024-01-24,48.10825168120206,-121.26467180592937,https://inaturalist-open-data.s3.amazonaws.com/photos/348782300/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197951977-2024-01-24.jpg
197946572,2024-01-29 13:45:16,"Sisco Heights, United States",,,2024-01-29,48.08455443036561,-122.10923213651473,https://inaturalist-open-data.s3.amazonaws.com/photos/348771143/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197946572-2024-01-29.jpg
197929669,2023-11-30 20:22:33,"Cle Elum, United States",,,2023-11-30,47.01800617398459,-121.13598326197464,https://inaturalist-open-data.s3.amazonaws.com/photos/348734462/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197929669-2023-11-30.jpg
197904791,April 22nd 1999,"Greenwood, United States",Black Beauty with Ed at breakfast time in the gazebo.,,1999-04-22,47.65646733451114,-122.39126375880387,https://inaturalist-open-data.s3.amazonaws.com/photos/348684140/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197904791-1999-04-22.jpg
